feature,F_score,p_value,comparison
wav_0_std,3197.27477307941,0.0,F_vs_N
wavelet_entropy,943.6927538659779,7.494708355886087e-207,F_vs_N
std,863.8323752674793,1.4919434608954553e-189,F_vs_N
local_heart_rate,791.7091689898994,6.353332506872043e-174,F_vs_N
heart_rate,786.4827664659679,8.626046900230284e-173,F_vs_N
wav_4_std,784.7987998002244,1.999007999958954e-172,F_vs_N
rr_interval,769.9584859566181,3.2932619963258144e-169,F_vs_N
max,759.0040651826315,7.803631049282118e-167,F_vs_N
wav_0_energy_ratio,758.9183265623645,8.144857650844253e-167,F_vs_N
signal_energy,735.2899619162196,1.0801477064555565e-161,F_vs_N
r_peak_to_mean,707.3640366192058,1.2265632279673659e-155,F_vs_N
mean_rr,650.3970888656463,2.7798671663244642e-143,F_vs_N
wav_1_energy_ratio,606.2323441540464,1.0611308083814191e-133,F_vs_N
r_peak_amplitude,574.7957895971875,7.043292173115004e-127,F_vs_N
ptp,533.8978074560151,5.311696764318347e-118,F_vs_N
rms,477.7313403266727,8.343615407864124e-106,F_vs_N
next_rr,456.96044355744965,2.7101806828474273e-101,F_vs_N
zero_crossing_rate,451.19165100657887,4.854891394747351e-100,F_vs_N
max_slope,413.83865711988204,6.34048520489605e-92,F_vs_N
absolute_area,393.09389342446065,2.045189160440158e-87,F_vs_N
wav_2_energy_ratio,376.3980522201461,8.710871633088478e-84,F_vs_N
wav_0_energy,371.6657801194664,9.308455047066074e-83,F_vs_N
slope_std,358.64159674242086,6.319336743453316e-80,F_vs_N
spectral_energy,288.3890602066425,1.2116552487622678e-64,F_vs_N
mean_abs_slope,281.9586364295363,3.041007900027264e-63,F_vs_N
min_slope,248.05731507128732,7.319741534154177e-56,F_vs_N
prev_rr,229.94182373943175,6.469027689720567e-52,F_vs_N
wav_3_std,222.46704954073581,2.7518667360625372e-50,F_vs_N
wav_3_energy_ratio,216.50792458910396,5.474629926537943e-49,F_vs_N
spectral_bandwidth,206.24972366879462,9.429191090468988e-47,F_vs_N
wav_4_energy,196.4077554188838,1.319599392493093e-44,F_vs_N
spectral_centroid,122.59028180484572,1.7403278640093582e-28,F_vs_N
skewness,120.9874188328697,3.902408948701908e-28,F_vs_N
wav_1_mean,95.60347250376297,1.4165606225308043e-22,F_vs_N
rr_ratio,95.37101375817736,1.592985605328278e-22,F_vs_N
wav_0_mean,93.9103890301472,3.330788018359373e-22,F_vs_N
wav_3_energy,88.00521712023165,6.579339568732596e-21,F_vs_N
dominant_freq,85.80055310501007,2.005128916386006e-20,F_vs_N
rr_deviation_ratio,82.5860116637082,1.0186907266930429e-19,F_vs_N
mean,68.89081064895078,1.0457043762846915e-16,F_vs_N
wav_2_energy,62.202992742894594,3.110378463518829e-15,F_vs_N
kurtosis,51.482770495992504,7.242435231687963e-13,F_vs_N
rr_deviation,43.6676303957661,3.899205110198509e-11,F_vs_N
wav_2_mean,30.431128125898663,3.4626861206552956e-08,F_vs_N
r_peak_position,27.11063791690962,1.9228704482149886e-07,F_vs_N
qrs_width,26.838039771189273,2.214079248044231e-07,F_vs_N
next_rr_ratio,19.287118062259214,1.1250798730066302e-05,F_vs_N
wav_1_energy,14.48797965932215,0.00014108988911628876,F_vs_N
wav_2_std,13.850257986435553,0.00019801226187503748,F_vs_N
wav_1_std,6.518602109460064,0.010675767624840468,F_vs_N
wav_4_mean,3.950069175031197,0.046870514338193246,F_vs_N
wav_4_energy_ratio,3.776081149908186,0.051991396195285956,F_vs_N
wav_3_mean,0.322231212764322,0.5702703453866232,F_vs_N
min,0.0002904539882177347,0.9864025558967654,F_vs_N
signal_energy,3702.3063274980886,0.0,F_vs_SVEB
wav_0_std,2963.861061297174,0.0,F_vs_SVEB
wav_4_std,2776.497833302144,0.0,F_vs_SVEB
spectral_energy,2747.4717030158076,0.0,F_vs_SVEB
wav_0_energy,2713.7893536280862,0.0,F_vs_SVEB
wavelet_entropy,2552.531071094002,0.0,F_vs_SVEB
wav_0_energy_ratio,1719.350732134887,0.0,F_vs_SVEB
wav_1_energy_ratio,1412.6419845317937,3.466452925849727e-296,F_vs_SVEB
absolute_area,1039.2371876097666,7.087192632498978e-221,F_vs_SVEB
wav_0_mean,1031.8152518246686,2.314517649360702e-219,F_vs_SVEB
wav_4_energy,978.7606072034488,1.6097976214261435e-208,F_vs_SVEB
rr_deviation_ratio,944.4899011440132,1.6940562420470353e-201,F_vs_SVEB
zero_crossing_rate,860.9675655839056,2.5375512486476336e-184,F_vs_SVEB
next_rr_ratio,830.7583802281617,4.347923093231871e-178,F_vs_SVEB
rr_deviation,787.06061962804,4.7441401864688905e-169,F_vs_SVEB
mean,681.6380333012914,3.8154843383473776e-147,F_vs_SVEB
max_slope,667.0465717104797,4.2155126234711805e-144,F_vs_SVEB
slope_std,628.634422663577,4.464401629881184e-136,F_vs_SVEB
rms,591.0274893715856,3.352762256916398e-128,F_vs_SVEB
wav_2_energy_ratio,566.5976929949167,4.4835300752956794e-123,F_vs_SVEB
r_peak_to_mean,534.5803405092008,2.4107881095592682e-116,F_vs_SVEB
mean_abs_slope,503.3409554046103,9.175002304276812e-110,F_vs_SVEB
wav_1_mean,492.17310760256316,2.0812158361163745e-107,F_vs_SVEB
std,462.2767832740012,4.295900372317478e-101,F_vs_SVEB
min_slope,439.8145759515052,2.430865635131864e-96,F_vs_SVEB
spectral_bandwidth,415.74146805458565,3.0706117832302107e-91,F_vs_SVEB
max,413.91647209841545,7.486972206474408e-91,F_vs_SVEB
r_peak_amplitude,365.273305846783,1.6189335132838408e-80,F_vs_SVEB
next_rr,361.78730951763083,8.937247512558683e-80,F_vs_SVEB
spectral_centroid,352.4333575150158,8.770584485311267e-78,F_vs_SVEB
wav_3_energy_ratio,327.9943119070826,1.4230895003748031e-72,F_vs_SVEB
ptp,323.0906748465315,1.583921031325635e-71,F_vs_SVEB
wav_3_std,282.15913398462646,8.9033039012369e-63,F_vs_SVEB
skewness,265.42110147997073,3.429424312972394e-59,F_vs_SVEB
