feature,F_score,p_value
wav_0_std,1475.7580480164158,0.0
wavelet_entropy,771.6174726947095,1.322105308650625e-169
r_peak_to_mean,681.4635547844379,4.7525983813781097e-150
max,656.2070464178701,1.4359112724507928e-144
wav_0_energy_ratio,651.8900985467732,1.241376576499473e-143
wav_4_std,603.2575895412781,4.4541248605289086e-133
r_peak_amplitude,557.0767657932532,4.725193553320007e-123
wav_1_energy_ratio,530.0168387870989,3.551486654877133e-117
local_heart_rate,500.51205102933204,9.089662383240604e-111
signal_energy,485.4838660283092,1.6712536202232035e-107
mean_rr,479.4788705211305,3.3696087197446847e-106
next_rr,468.3560560741339,8.791867172391465e-104
zero_crossing_rate,436.74260558684307,6.508478909574734e-97
max_slope,416.9497347575177,1.3040028491367788e-92
std,394.20597259824405,1.1465212599528267e-87
slope_std,349.46101006405917,6.158130724874643e-78
ptp,336.9446305801902,3.2513931513427047e-75
wav_2_energy_ratio,327.0427251912558,4.637325345489187e-73
rr_interval,294.56823213150847,5.409684314970665e-66
mean_abs_slope,284.54030053550184,8.242291197955673e-64
wav_0_energy,266.68829905720804,6.352102361060918e-60
spectral_energy,266.14970925669365,8.32149094663148e-60
rms,259.9162838346425,1.8952911238788064e-58
absolute_area,247.56506767971536,9.287452238372024e-56
wav_3_std,226.6089395283817,3.4186796021285124e-51
min_slope,211.11616839716666,8.143639339931899e-48
wav_3_energy_ratio,202.92964140247886,4.963190996236048e-46
heart_rate,188.02694323667268,8.832735152681777e-43
skewness,169.96967731938977,7.69994175692932e-39
spectral_bandwidth,162.70754694153646,2.9642900927610803e-37
prev_rr,124.15527167019016,7.89379205757727e-29
wav_1_mean,114.68901252850488,9.310385094692166e-27
wav_0_mean,103.19088789696099,3.0716010353439527e-24
wav_4_energy,100.35490667823049,1.285034610239604e-23
spectral_centroid,92.06232879302792,8.460431054675084e-22
wav_3_energy,87.09677337832268,1.0401710636914882e-20
wav_2_energy,76.88503715890126,1.8213346681822494e-18
mean,74.47042786797174,6.1849592165155594e-18
dominant_freq,67.40902951933582,2.215079137965701e-16
next_rr_ratio,52.139116296337534,5.182778002068103e-13
rr_ratio,47.350045315962724,5.949378412529698e-12
qrs_width,42.35851421164562,7.610522721616602e-11
r_peak_position,35.51396503505207,2.53512951355353e-09
wav_2_std,21.24035754250684,4.053117600390756e-06
wav_2_mean,19.988991357392987,7.791812175631424e-06
kurtosis,12.516462636408804,0.0004034434722847072
wav_1_energy,10.795354532223685,0.001017669259554691
min,7.589802123497748,0.005870297146243078
wav_1_std,4.898835169514311,0.026875575830169276
wav_4_mean,3.6358091059585287,0.056550077063480954
rr_deviation_ratio,2.9472660409391143,0.08602401572911063
wav_4_energy_ratio,0.794324723519178,0.37279634247326165
rr_deviation,0.5999978184456656,0.438579476073076
wav_3_mean,0.0951063783966741,0.757783356717235
