feature_group,feature
Time-domain,mean
Time-domain,std
Time-domain,max
Time-domain,min
Time-domain,rms
Time-domain,ptp
Time-domain,skewness
Time-domain,kurtosis
Time-domain,r_peak_amplitude
Time-domain,r_peak_position
Time-domain,r_peak_to_mean
Time-domain,max_slope
Time-domain,min_slope
Time-domain,mean_abs_slope
Time-domain,slope_std
Time-domain,zero_crossing_rate
Time-domain,absolute_area
Time-domain,signal_energy
Time-domain,qrs_width
RR-heart-rate,rr_interval
RR-heart-rate,prev_rr
RR-heart-rate,next_rr
RR-heart-rate,heart_rate
RR-heart-rate,mean_rr
RR-heart-rate,local_heart_rate
RR-heart-rate,rr_ratio
RR-heart-rate,next_rr_ratio
RR-heart-rate,rr_deviation
RR-heart-rate,rr_deviation_ratio
Spectral,dominant_freq
Spectral,spectral_centroid
Spectral,spectral_bandwidth
Spectral,spectral_energy
Wavelet,wav_0_mean
Wavelet,wav_0_std
Wavelet,wav_0_energy
Wavelet,wav_0_energy_ratio
Wavelet,wav_1_mean
Wavelet,wav_1_std
Wavelet,wav_1_energy
Wavelet,wav_1_energy_ratio
Wavelet,wav_2_mean
Wavelet,wav_2_std
Wavelet,wav_2_energy
Wavelet,wav_2_energy_ratio
Wavelet,wav_3_mean
Wavelet,wav_3_std
Wavelet,wav_3_energy
Wavelet,wav_3_energy_ratio
Wavelet,wav_4_mean
Wavelet,wav_4_std
Wavelet,wav_4_energy
Wavelet,wav_4_energy_ratio
Wavelet,wavelet_entropy
All-features,mean
All-features,std
All-features,max
All-features,min
All-features,rms
All-features,ptp
All-features,skewness
All-features,kurtosis
All-features,r_peak_amplitude
All-features,r_peak_position
All-features,r_peak_to_mean
All-features,rr_interval
All-features,prev_rr
All-features,next_rr
All-features,heart_rate
All-features,mean_rr
All-features,local_heart_rate
All-features,rr_ratio
All-features,next_rr_ratio
All-features,rr_deviation
All-features,rr_deviation_ratio
All-features,max_slope
All-features,min_slope
All-features,mean_abs_slope
All-features,slope_std
All-features,zero_crossing_rate
All-features,absolute_area
All-features,signal_energy
All-features,qrs_width
All-features,dominant_freq
All-features,spectral_centroid
All-features,spectral_bandwidth
All-features,spectral_energy
All-features,wav_0_mean
All-features,wav_0_std
All-features,wav_0_energy
All-features,wav_0_energy_ratio
All-features,wav_1_mean
All-features,wav_1_std
All-features,wav_1_energy
All-features,wav_1_energy_ratio
All-features,wav_2_mean
All-features,wav_2_std
All-features,wav_2_energy
All-features,wav_2_energy_ratio
All-features,wav_3_mean
All-features,wav_3_std
All-features,wav_3_energy
All-features,wav_3_energy_ratio
All-features,wav_4_mean
All-features,wav_4_std
All-features,wav_4_energy
All-features,wav_4_energy_ratio
All-features,wavelet_entropy
