strategy,fold,accuracy,balanced_accuracy,macro_f1,F_f1,SVEB_f1,N_weight,SVEB_weight,VEB_weight,F_weight,Q_weight
baseline,1,0.8297,0.6256,0.5656,0.0,0.2695,0.2343,4.138,3.3526,60.4404,5.7214
baseline,2,0.918,0.7208,0.6861,0.1871,0.7251,0.2344,4.2051,3.4123,103.2121,5.1995
baseline,3,0.8367,0.6027,0.543,0.0105,0.3956,0.234,3.8157,3.5827,105.457,5.6635
baseline,4,0.9298,0.6909,0.6524,0.0,0.663,0.2352,3.7575,3.467,58.8613,5.6845
baseline,5,0.8949,0.7297,0.647,0.0056,0.5362,0.2347,3.9212,3.4565,59.0994,5.5933
moderate,1,0.8464,0.6202,0.5702,0.0,0.2879,0.1667,0.7007,0.6307,2.6779,0.8239
moderate,2,0.9302,0.6261,0.649,0.0418,0.6668,0.1439,0.6095,0.5491,3.0197,0.6778
moderate,3,0.8507,0.5962,0.55,0.0053,0.4138,0.1425,0.5752,0.5574,3.0241,0.7008
moderate,4,0.9434,0.6832,0.6666,0.0,0.6831,0.1691,0.6758,0.6492,2.6748,0.8312
moderate,5,0.9243,0.7083,0.6698,0.0029,0.5971,0.1685,0.6887,0.6466,2.6737,0.8225
