feature,importance
wav_4_std,0.093923636
wav_4_energy,0.0886877
heart_rate,0.07415781
rr_deviation,0.06687949
rr_interval,0.052982938
wav_2_energy_ratio,0.05145696
slope_std,0.049578886
rr_deviation_ratio,0.040874958
wav_4_energy_ratio,0.03377635
wav_4_mean,0.020468572
spectral_bandwidth,0.020196695
spectral_energy,0.019339245
min,0.01831146
wav_0_std,0.018139685
mean_abs_slope,0.01675959
r_peak_to_mean,0.015874831
std,0.015465635
r_peak_position,0.014806912
wav_0_energy_ratio,0.014504766
r_peak_amplitude,0.0139772985
wav_1_mean,0.012882162
next_rr,0.012363151
max_slope,0.012274295
local_heart_rate,0.011760803
wavelet_entropy,0.010758609
skewness,0.010674997
signal_energy,0.010089301
kurtosis,0.010046618
rr_ratio,0.010043258
wav_2_mean,0.009614175
prev_rr,0.009027829
mean_rr,0.008909991
wav_1_std,0.008745364
next_rr_ratio,0.008444012
max,0.008429335
wav_1_energy,0.008046843
wav_3_energy,0.00790299
dominant_freq,0.00756319
min_slope,0.007413052
spectral_centroid,0.007156986
wav_2_std,0.006558692
wav_1_energy_ratio,0.0064322012
wav_3_energy_ratio,0.0063264943
wav_0_mean,0.006048016
rms,0.0060316785
wav_3_std,0.005622143
ptp,0.005561496
qrs_width,0.005151801
absolute_area,0.0044849026
wav_0_energy,0.003922098
wav_3_mean,0.0032195786
wav_2_energy,0.0032167577
mean,0.002782975
zero_crossing_rate,0.0023308778
