feature,importance
wav_4_std,0.118931614
wav_4_energy,0.11559066
wav_4_energy_ratio,0.090613835
heart_rate,0.07487038
rr_deviation_ratio,0.053743567
spectral_energy,0.047384128
wavelet_entropy,0.04271641
next_rr,0.038694113
rr_interval,0.036666572
wav_0_std,0.024896083
kurtosis,0.024555692
min_slope,0.02343935
r_peak_to_mean,0.021371987
rr_deviation,0.020387748
next_rr_ratio,0.016962534
wav_0_energy_ratio,0.01578073
r_peak_amplitude,0.013412791
mean_abs_slope,0.011256567
r_peak_position,0.0102962665
spectral_bandwidth,0.010284584
local_heart_rate,0.01024243
std,0.009968897
max_slope,0.0099260695
rr_ratio,0.009765991
dominant_freq,0.007855453
qrs_width,0.007830407
mean_rr,0.007732936
skewness,0.007572538
max,0.007168293
wav_1_energy_ratio,0.007106779
slope_std,0.006983919
signal_energy,0.0068073543
wav_1_std,0.0067775147
wav_1_energy,0.0066586644
spectral_centroid,0.0060590073
ptp,0.006045825
wav_2_energy,0.0045386935
min,0.0044798893
wav_2_std,0.004455344
wav_0_energy,0.0042384006
wav_1_mean,0.0042035845
prev_rr,0.0041055456
rms,0.0040924745
wav_2_energy_ratio,0.0039016113
wav_3_energy_ratio,0.00370755
absolute_area,0.003427548
wav_0_mean,0.003402266
mean,0.0032571345
wav_3_std,0.0031133222
zero_crossing_rate,0.0030885558
wav_3_energy,0.0030137708
wav_2_mean,0.0030029386
wav_4_mean,0.0021870167
wav_3_mean,0.0014266251
